Series_ID,Region_Name,Region_Code,2021_April
MDBALT0URN,"Baltimore County, MD",24005,5.7
SCBAMB9URN,"Bamberg County, SC",45009,8.2
TXBAND9URN,"Bandera County, TX",48019,4.9
GABANK1URN,"Banks County, GA",13011,2.5
NEBANN7URN,"Banner County, NE",31007,1.8
IDBANN5URN,"Bannock County, ID",16005,3.2
MIBARA3URN,"Baraga County, MI",26013,7.4
KSBARB7URN,"Barber County, KS",20007,2.1
ALBARB5URN,"Barbour County, AL",1005,4.8
WVBARB1URN,"Barbour County, WV",54001,5.5
NDBARN3URN,"Barnes County, ND",38003,3.1
MABARN1URN,"Barnstable County, MA",25001,7.2
SCBARN1URN,"Barnwell County, SC",45011,7
KYBRURN,"Barren County, KY",21009,4.4
WIBARR5URN,"Barron County, WI",55005,4.6
GABARR3URN,"Barrow County, GA",13013,2.8
MOBAURN,"Barry County, MO",29009,3.8
MIBARR5URN,"Barry County, MI",26015,4.2
INBART5URN,"Bartholomew County, IN",18005,3.3
KSBART9URN,"Barton County, KS",20009,2.8
MOBART1URN,"Barton County, MO",29011,2.6
GABART5URN,"Bartow County, GA",13015,3.3
TXBAST1URN,"Bastrop County, TX",48021,4.8
MOBATE3URN,"Bates County, MO",29013,3.5
KYBATH1URN,"Bath County, KY",21011,4.5
VABATH7URN,"Bath County, VA",51017,5.2
ARBAURN,"Baxter County, AR",5005,3.8
MIBAYC7URN,"Bay County, MI",26017,5.8
FLBAYC5URN,"Bay County, FL",12005,4.4
WIBAYF7URN,"Bayfield County, WI",55007,8.1
TXBAYL3URN,"Baylor County, TX",48023,3.4
SDBEAD5URN,"Beadle County, SD",46005,2.7
IDBEAR7URN,"Bear Lake County, ID",16007,2.6
SCBEAU5URN,"Beaufort County, SC",45013,3.5
NCBEAU3URN,"Beaufort County, NC",37013,4.1
LABEAU1URN,"Beauregard Parish, LA",22011,4.5
OKBEAV7URN,"Beaver County, OK",40007,1.5
PABEAV7URN,"Beaver County, PA",42007,6.9
UTBEAV1URN,"Beaver County, UT",49001,2.9
MTBEAV1URN,"Beaverhead County, MT",30001,2.9
MNBECK5URN,"Becker County, MN",27005,4
OKBECK9URN,"Beckham County, OK",40009,5.1
PABEDF9URN,"Bedford County, PA",42009,5.7
TNBEDF3URN,"Bedford County, TN",47003,4.6
VABEDF9URN,"Bedford County, VA",51019,3.3
TXBEEC5URN,"Bee County, TX",48025,9.4
NHBELK1URN,"Belknap County, NH",33001,2.9
TXBELL7URN,"Bell County, TX",48027,6
KYBELL3URN,"Bell County, KY",21013,4.5
OHBELM0URN,"Belmont County, OH",39013,5.9
MNBELT7URN,"Beltrami County, MN",27007,4.6
GABENH7URN,"Ben Hill County, GA",13017,4.8
IDBENE9URN,"Benewah County, ID",16009,7.7
SDBENN7URN,"Bennett County, SD",46007,4
VTBENN3URN,"Bennington County, VT",50003,3.8
NDBENS5URN,"Benson County, ND",38005,5.6
COBENT1URN,"Bent County, CO",8011,5.8
TNBNURN,"Benton County, TN",47005,4.9
ORBENT3URN,"Benton County, OR",41003,4.6
ARBEURN,"Benton County, AR",5007,2.8
INBENT7URN,"Benton County, IN",18007,3.2
MOBENT5URN,"Benton County, MO",29015,5.5
MSBEURN,"Benton County, MS",28009,6.9
IABENT1URN,"Benton County, IA",19011,3.9
WABENT0URN,"Benton County, WA",53005,6.4
MNBENT9URN,"Benton County, MN",27009,5.1
MIBENZ9URN,"Benzie County, MI",26019,5.7
NJBERG5URN,"Bergen County, NJ",34003,6.9
WVBERK3URN,"Berkeley County, WV",54003,4
SCBERK0URN,"Berkeley County, SC",45015,4
PABERK2URN,"Berks County, PA",42011,6.3
MABERK2URN,"Berkshire County, MA",25003,7.1
NMBERN1URN,"Bernalillo County, NM",35001,7.1
GABERR9URN,"Berrien County, GA",13019,5.6
MIBERR5URN,"Berrien County, MI",26021,5.2
NCBERT5URN,"Bertie County, NC",37015,5.2
AKBETH0URN,"Bethel CA, AK",2050,13.5
TXBEXA9URN,"Bexar County, TX",48029,5.8
ALBIBB7URN,"Bibb County, AL",1007,3
