FIPS,County,1970,1980,1990,2000,2015-2019
51053,Dinwiddie   ,4.1,6.6,8.4,11,18.6
51149,Prince George    ,10.5,14.6,16.2,19.4,23.6
51570,Colonial Heights,9.7,16.1,16.7,19,25.5
51670,Hopewell      ,7.8,9.9,10,10.2,14.8
51730,Petersburg       ,9.5,12.7,13.5,14.8,19.8
