FIPS,County,1970,1980,1990,2000,2015-2019
51053,Dinwiddie   ,17.7,24.5,33.8,37.9,36
51149,Prince George    ,33.9,35.6,33.7,31.8,33.8
51570,Colonial Heights,30.1,34.6,36.7,34.4,31.4
51670,Hopewell      ,31,33.8,36,35.9,36.7
51730,Petersburg       ,20.4,24.2,26.3,30.3,35.7
