FIPS,County,1970,1980,1990,2000,2015-2019
51053,Dinwiddie   ,5.6,8.7,16.9,21.0,28.5
51149,Prince George    ,11,17.7,28,30.5,33.2
51570,Colonial Heights,12.7,16.3,24.5,30.3,34.6
51670,Hopewell      ,9.7,11.2,21.4,25.7,29.8
51730,Petersburg       ,8.6,13.8,22.4,23.5,27.2
